Indicator Name,GDP (current US$),Australia Export to China All Products Export (US$ Thousand),Australia Export to United States All Products Export (US$ Thousand),Australia Export to Japan All Products Export (US$ Thousand),Australia World Export Raw materials Export (US$ Thousand),Australia Ores and Metals Export (US$ Thousand),Australia Ores and Metals Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
1990,0.18727946,0.000219792,0.069136152,0.03735375,0.012695206,0.016445892,0.018542564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.839889571,,,,,,,,,,,,,,,,,,,
1991,0.196245644,0.002596686,0.040476673,0.06274427,0.01513796,0.013351177,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,0.196245644,0.004523517,0.025074585,0.04442963,0.015423593,0.006370074,0.02084195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,0.187919902,0.004849127,0.008367901,0.038084863,0.007549294,0,0.00769484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,0.194324319,0.007138749,0.018945007,0.062563505,0.014735492,0.000369694,0.047992517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,0.223144197,0.010753681,1.15E-06,0.058243786,0.021542406,0.024572424,0.069013723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,0.244278773,0.013386652,0.045744996,0.043799807,0.045720207,0.030799322,0.056608665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,0.266694233,0.017278233,0.135743403,0.047996473,0.058648387,0.035247036,0.07350872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,0.243638332,0.012560086,0.233442214,0.021332622,0.034559819,0.028755405,0.076941153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,0.237233914,0.015080854,0.251895145,0.020383494,0.03376535,0.029716017,0.061669868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,0.253885399,0.027139985,0.491243875,0.100788094,0.060832772,0.049868774,0.082141227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,0.230189055,0.031475411,0.468339707,0.092935831,0.064880393,0.046790205,0.077433751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,0.241076565,0.037724538,0.486615727,0.088594806,0.068613724,0.042612484,0.09272308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,0.286547927,0.051066571,0.466712381,0.10579987,0.069086374,0.055752623,0.14815512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,0.380052417,0.072307481,0.579453038,0.185362485,0.135023082,0.100823843,0.160498225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,0.431928197,0.113437359,0.587352307,0.308097615,0.218216339,0.180800316,0.213529389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,0.465871608,0.1432913,0.655443278,0.370557521,0.265508649,0.283978778,0.326355522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,0.534398871,0.188366004,0.765913052,0.424171006,0.302744921,0.364667951,0.484307644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,0.66056589,0.259312512,1,0.78693541,0.556817443,0.484918651,0.635456024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,0.582432,0.319568603,0.640114977,0.497336289,0.444291768,0.381893925,0.379813821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,0.724610061,0.518509031,0.767718696,0.726736715,0.718710609,0.706134463,0.688462283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,0.884720491,0.714639779,0.955031074,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,0.980786748,0.734505079,0.911442582,0.945171112,0.901306161,0.876221932,0.770959789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,0.846678681,0.658080896,0.525520259,0.923075761,0.974668646,0.678292262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,0.929551411,0.789025342,0.968078751,0.796139836,0.857439842,0.893587892,0.772444498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0.852698405,0.589596163,0.972603701,0.493073302,0.597946849,0.578261668,0.642170858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,0.763036564,0.579628137,0.811588137,0.41377154,0.591308562,0.571142543,0.601061925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,0.839889571,0.740059885,0.824510298,0.58097256,0.762581602,0.664835024,0.643780593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,0.903933742,0.850733564,0.916354311,0.755605322,0.819655984,0.676530987,0.698885691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,0.884720491,1,0.998177725,0.7123205,0.892104106,0.874052838,0.56061208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
