,iid_target,iid_neighbors
0,14170,620
1,14170,12427
2,5978,841
3,5978,8221
4,5978,28883
5,756,10337
6,756,8249
7,2481,23265
8,2481,23965
9,1008,12416
10,40302,34708
11,9876,11919
12,5089,3327
13,5089,11918
14,20758,4096
15,12925,10607
16,12925,32461
17,796,1145
18,796,15673
19,796,21651
20,4113,50324
21,1277,21530
22,5423,6126
23,5423,18740
24,32467,11972
25,32505,15176
26,7419,37572
27,21891,3925
28,21891,28592
29,21891,29138
30,18254,49866
31,22951,40465
32,22951,44585
33,22951,42077
34,29489,44951
35,29489,35391
36,219,2233
37,52,3732
38,52,21710
39,52,23921
40,52,16091
41,55,22017
42,55,45928
43,3163,35723
44,3163,7907
45,3163,17795
46,3163,5516
47,3163,11869
48,3163,30236
49,3163,33015
50,3163,51756
51,3163,50825
52,351,26116
53,8018,14133
54,45804,2739
55,45804,20811
56,45804,39763
57,48005,20260
58,51928,45967
59,3402,24252
60,45562,45563
61,45562,45564
62,11946,11470
63,1382,6970
64,1382,52952
65,8287,4655
66,33721,33667
67,7217,15753
68,29139,5015
69,29139,5463
70,29139,11850
71,29139,31729
72,29139,7853
73,29139,11033
74,29139,12404
75,29139,4877
76,29139,4889
77,29139,575
78,29139,11838
79,29139,12392
80,29139,12382
81,29139,12409
82,29139,18239
83,29139,18231
84,29139,18242
85,29139,2899
86,29139,24393
87,29139,15720
88,29139,15696
89,29139,43343
90,29139,24700
91,29139,51381
92,29139,34835
93,29139,29328
94,29139,29907
95,29139,29893
96,29139,29901
97,29139,29906
98,29139,29904
99,29139,29910
100,29139,30051
101,29139,30053
102,29139,31690
103,29139,31712
104,29139,52566
105,29139,35430
106,29139,31674
107,29139,31731
108,5757,2379
109,5757,501
110,5757,7494
111,5757,1392
112,5757,7764
113,5757,12191
114,5757,14619
115,6778,12043
116,6778,14674
117,6778,50252
118,14668,4256
119,14886,14216
120,10877,15349
121,4318,190
122,4318,19885
123,4318,22810
124,4318,49494
125,26629,4206
126,26629,6850
127,26629,9228
128,4894,23203
129,4631,130
130,4631,38458
131,25061,32386
132,48951,4259
133,48951,25607
134,48951,30452
135,48951,49452
136,6185,3820
137,6185,24200
138,6185,27093
139,3287,51585
140,11997,12849
141,11997,11914
142,11997,4726
143,11997,28044
144,11997,4727
145,2374,4993
146,2374,8219
147,2374,50891
148,21103,21796
149,21103,1118
150,21103,11291
151,28197,7768
152,28197,36152
153,14610,10683
154,11568,340
155,11568,23059
156,18534,43051
157,1394,10184
158,1394,51790
159,3924,5061
160,3924,3514
161,3924,5011
162,3924,11845
163,3924,18123
164,3924,22277
165,3924,23564
166,17625,52125
167,8417,23981
168,204,3240
169,204,3987
170,204,8149
171,204,988
172,18996,43
173,18996,37563
174,18996,4608
175,18996,10111
176,18996,15008
177,18996,23972
178,18996,27250
179,18996,2483
180,18996,1021
181,18996,39605
182,18996,15002
183,18996,10188
184,18996,4314
185,18996,39606
186,18996,20083
187,18996,39604
188,18996,35953
189,18996,32939
190,18996,11826
191,18996,5095
192,18996,5341
193,18996,7520
194,18996,2485
195,18996,18480
196,18996,19022
197,18996,19153
198,18996,20084
199,18996,2482
200,18996,2484
201,18996,39608
202,18996,21192
203,18996,21196
204,18996,26433
205,18996,24311
206,18996,43739
207,18996,15003
208,18996,28791
209,18996,23970
210,18996,23971
211,18996,23973
212,18996,24312
213,18996,33116
214,18996,18112
215,18996,26856
216,18996,27360
217,18996,15012
218,18996,32630
219,18996,39614
220,18996,2488
221,18996,37705
222,18996,32940
223,18996,33059
224,18996,38058
225,18996,39603
226,18996,39618
227,18996,39601
228,18996,39617
229,18996,46574
230,18996,36249
231,18996,39616
