item_old,item_new
1,0
2,1
3,2
4,3
5,4
6,5
7,6
8,7
10,8
11,9
12,10
13,11
14,12
15,13
16,14
17,15
19,16
20,17
21,18
22,19
23,20
24,21
25,22
26,23
27,24
28,25
29,26
30,27
31,28
32,29
33,30
34,31
35,32
36,33
37,34
38,35
40,36
41,37
42,38
43,39
44,40
45,41
46,42
47,43
48,44
49,45
50,46
51,47
52,48
53,49
54,50
55,51
56,52
57,53
58,54
59,55
60,56
61,57
62,58
63,59
64,60
65,61
66,62
67,63
68,64
69,65
70,66
71,67
72,68
73,69
74,70
75,71
76,72
77,73
78,74
79,75
80,76
81,77
82,78
83,79
84,80
85,81
86,82
87,83
88,84
89,85
90,86
91,87
92,88
93,89
96,90
97,91
98,92
99,93
100,94
101,95
102,96
103,97
104,98
105,99
106,100
107,101
109,102
110,103
112,104
116,105
117,106
118,107
119,108
120,109
121,110
122,111
126,112
127,113
132,114
133,115
134,116
135,117
136,118
137,119
138,120
141,121
143,122
146,123
148,124
150,125
151,126
152,127
153,128
154,129
155,130
156,131
157,132
158,133
160,134
161,135
162,136
163,137
164,138
166,139
167,140
168,141
169,142
170,143
171,144
172,145
173,146
174,147
176,148
177,149
179,150
180,151
182,152
183,153
184,154
185,155
186,156
187,157
190,158
192,159
193,160
194,161
195,162
196,163
197,164
198,165
199,166
200,167
202,168
203,169
204,170
205,171
209,172
211,173
212,174
213,175
215,176
216,177
217,178
218,179
219,180
220,181
221,182
222,183
223,184
224,185
225,186
226,187
227,188
233,189
234,190
238,191
239,192
240,193
241,194
242,195
243,196
244,197
245,198
248,199
249,200
252,201
253,202
254,203
257,204
258,205
259,206
261,207
264,208
265,209
267,210
268,211
269,212
271,213
273,214
275,215
277,216
278,217
279,218
280,219
281,220
282,221
283,222
284,223
285,224
286,225
287,226
288,227
289,228
291,229
292,230
294,231
295,232
296,233
297,234
298,235
299,236
300,237
301,238
302,239
303,240
304,241
306,242
307,243
309,244
310,245
311,246
312,247
313,248
314,249
315,250
316,251
317,252
319,253
320,254
321,255
323,256
324,257
325,258
326,259
327,260
329,261
333,262
334,263
335,264
336,265
337,266
338,267
339,268
340,269
343,270
345,271
348,272
349,273
350,274
352,275
354,276
356,277
359,278
360,279
361,280
362,281
363,282
364,283
365,284
367,285
368,286
369,287
370,288
374,289
375,290
376,291
377,292
378,293
379,294
381,295
382,296
383,297
384,298
385,299
386,300
388,301
389,302
390,303
391,304
392,305
393,306
394,307
396,308
398,309
399,310
400,311
401,312
402,313
403,314
404,315
405,316
406,317
407,318
408,319
409,320
410,321
412,322
413,323
414,324
415,325
416,326
417,327
418,328
419,329
420,330
421,331
422,332
423,333
424,334
425,335
426,336
427,337
428,338
429,339
430,340
431,341
432,342
433,343
434,344
435,345
436,346
437,347
438,348
440,349
442,350
443,351
446,352
447,353
449,354
450,355
451,356
452,357
454,358
455,359
456,360
458,361
459,362
460,363
461,364
462,365
464,366
465,367
466,368
467,369
468,370
469,371
470,372
471,373
472,374
473,375
475,376
476,377
477,378
478,379
479,380
480,381
481,382
482,383
483,384
484,385
485,386
486,387
487,388
488,389
489,390
490,391
491,392
492,393
493,394
494,395
495,396
496,397
497,398
498,399
499,400
500,401
501,402
502,403
503,404
505,405
506,406
507,407
508,408
509,409
510,410
511,411
512,412
515,413
517,414
519,415
520,416
521,417
522,418
